"Item","Location","Sublocation","Quantity"
"DAHUA IPC-EBW8630-IVC 6MP PANORAMIC NETWORK IR FISHEYE CAMERA WITH PANAMORPH LENS","Default Location","","1.0000"
"DAHUA IPC-HDBW8331E-Z","Default Location","","1.0000"
"DAHUA IPC-HDW1230T1N 2MP IP CAMERA (DOME)","Default Location","","9.0000"
"DAHUA IPC-HDW1431T1 4MP DOME NETWORK CAMERA","Default Location","","40.0000"
"DAHUA IPC-HDW1431T1N-S4 4MP ENTRY IR FIXED-FOCAL EYEBALL DOME NETWOK CAMERA","Default Location","","185.0000"
"DAHUA IPC-HFW1230S1N 2MP IP BULLET CAMERA","Default Location","","12.0000"
"DAHUA IPC-HFW1230S1N 2MP IP CAMERA (BULLET) ","Default Location","","12.0000"
"DAHUA IPC-HFW1431S1N 4MP ENTRY BULLET CAMERA ","Default Location","","57.0000"
"DAHUA IPC-HFW1431S1-S6 4MP CAMERA IR BULLET NETWORK","Default Location","","22.0000"
"DAHUA IPC-HFW2841S-S 8MP 2.8MM IR FIXED-FOCAL BULLET WIZSENSE NETWORK CAMERA","Default Location","","10.0000"
"DAHUA IPC-HFW4431EN-ZS 4MP WDR IR BULLET NETWORK CAMERA ","Default Location","","10.0000"
"DAHUA JUNCTION BOX DH-PFA134 ","Default Location","","11.0000"
"DAHUA NETWORK VIDEO RECORDER NVR4108HS-8P-4KS2/L 8 CHANNEL W/ POE","Default Location","","2.0000"
"DAHUA NVR5208-4KS2 8 CHANNEL 1U 2HDDS 4K & H.265 PRO NETWORK VIDEO RECORDER","Default Location","","1.0000"
"DAHUA NVR5216-16P-4KS3/L 16 CHANNEL 1U 16POE 4K&H.265 PRO NETWORK VIDEO RECORDER","Default Location","","1.0000"
"DAHUA NVR5216-4KS2 16 CHANNEL 1U 2HDDS 4K & H.265 PRO NETWORK VIDEO RECORDER","Default Location","","1.0000"
"DAHUA NVR5232-16P-EI 32 CHANNELS 1U 16POE 2HDDS WIZ SENSE NETWORK VIDEO RECORDER","Default Location","","1.0000"
"DAHUA NVR5232-EI 32CH 2HDD 1U NETWORK VIDEO RECORDER","Default Location","","1.0000"
"DAHUA PFA130-E WATER-PROOF JUNCTION BOX","Default Location","","96.0000"
"DAHUA PFA136 JUNCTION BOX","Default Location","","34.0000"
"DAHUA PFA152-E POLE MOUNT BRACKET","Default Location","","1.0000"
"DAHUA PFS4218-16GT-240 16-PORT POE GIGABIT MANAGED SWITCH ","Default Location","","5.0000"
"DAHUA PFS4226-24GT-360 24-PORT POE GIGABIT MANAGED SWITCH ","Default Location","","2.0000"
"DAHUA PFS4226-24GT-370 24-PORT POE GIGABIT MANAGED SWITCH ","Default Location","","2.0000"
"DAHUA PFT1300 POE EXTENDER","Default Location","","3.0000"
"DAHUA SD3282D-GN","Default Location","","3.0000"
"DAHUA SD6C2201N (HD-CVI PTZ)","Default Location","","5.0000"
"DAHUA XVR5216AN-I3 2HDD 16CH PENTABRID RECORDER","Default Location","","2.0000"
"DAHUA XVR5216AN-X","Default Location","","4.0000"
"DAHUA XVR5232AN-I3 32CH PENTABRID 2HDD DIGITAL VIDEO RECORDER","Default Location","","1.0000"
"DAHUA XVR5432L-X DVR","Default Location","","3.0000"
"DATA CABINET  NEMA 3R WITH CANOPY HEIGHT 800MM X WIDTH 550MM X DEPTH 450MM  ","Default Location","","1.0000"
"DATA CABINET 15U W: 600 x D:600 x H770mm (2’5”)","Default Location","","1.0000"
"DATA CABINET 21.5 x 20 x 2","Default Location","","3.0000"
"DATA CABINET 21.5 X 23 X 24","Default Location","","2.0000"
"DATA CABINET 21.5 X 30 X 24","Default Location","","3.0000"
"DATA CABINET 23.6 x 18 x 2","Default Location","","1.0000"
"DATA CABINET 400 X 500 X 300","Default Location","","4.0000"
"DATA CABINET 600 X 600 X 22 FLOOR MOUNTED ","Default Location","","1.0000"
"DATA CABINET 600x600x500","Default Location","","1.0000"
"DATA CABINET 6U","Default Location","","1.0000"
"DATA CABINET 7FT X 600MM X 800MM FREE STANDING","Default Location","","3.0000"
"DATA CABINET 800mmW x 1000mmD x 8ft.H","Default Location","","1.0000"
"DATA CABINET CLOSED TYPE HEIGHT 2.5FT. X WIDTH 600MM X DEPTH 700MM   ","Default Location","","1.0000"
"DATA CABINET FLOOR MOUNTED TYPE HEIGHT 7FT. X WIDTH 600MM X DEPTH 800MM   ","Default Location","","2.0000"
"DATA CABINET WALL MOUNT TYPE HEIGHT 12U/2FT. X WIDTH 21.5” X DEPTH 20”  ","Default Location","","7.0000"
"DATA CABINET WALL MOUNT TYPE Height 9U/1.5Ft. x Width 21.5” x Depth 20”  ","Default Location","","7.0000"
"DAVIES CLEAR GLOSS EMULSION GAL","Default Location","","1.0000"
"DAVIES FLAT LATEX WHITE DV-500DL","Default Location","","1.0000"
"DAVIES LATEX CHOCO BROWN 1QRT","Default Location","","2.0000"
"DAVIES METAL PRIMER OXIDE DV-911 GAL","Default Location","","1.0000"
"DAVIES SILVER FINISH ALUM.","Default Location","","1.0000"
"DAVIES TINTING COLOR BLUE 1/4L","Default Location","","2.0000"
"DAVIES TINTING COLOR RED 1/4L","Default Location","","1.0000"
"DAVIES TINTING COLOR YELLOW 1/4L","Default Location","","1.0000"
"DB AMPLIFIED SPEAKER","Default Location","","1.0000"
"DC JACK","Default Location","","20.0000"
"DC PLUG","Default Location","","570.0000"
"DC PLUG W/ CABLE","Default Location","","25.0000"
"DC SOCKET","Default Location","","2.0000"
"DC-2CD2742FWD-1 SURVEILLANCE CAMERA","Default Location","","7.0000"
"DDR3-1600 DUAL RANK LOW VOLTAGE UDIMM 4GB MEMORY KIT","Default Location","","1.0000"
"DEAD BOLT 12MM","Default Location","","1.0000"
"DECO E4 AC1200 WHOLE HOME MESH WI-FI SYSTEM","Default Location","","-4.0000"
"DEEPCOOL GAMMA ARCHER FAN BLUE","Default Location","","1.0000"
"DELKIN AVR 500 WATTS","Default Location","","1.0000"
"DELL 1TB 7.2K RPM SATA 6GBPS 512N 3.5IN HOT-PLUG HARD DRIVE, CK","Default Location","","1.0000"
"DELL 8GB - 1RX8 DDR4 UDIMM 3200MHz MEMORY","Default Location","","1.0000"
"DELL INSPIRON 3670 CORE i7-8700","Default Location","","2.0000"
"DELL KIT-POWER CORD, 15A, 125V, 10, 5-15/C13","Default Location","","1.0000"
"DELL POWEREDGE T440 8GB XEON SILVER 4","Default Location","","1.0000"
"DELL S2319H 23IN IPS FHD LED MONITOR","Default Location","","1.0000"
"DELTA VX-SERIES UPS/AVR 600VA","Default Location","","1.0000"
"DESKTOP COMPUTER MONITORING PC","Default Location","","-2.0000"
"DESKTOP CPU ONLY","Default Location","","1.0000"
"DETERGENT POWDER SURF","Default Location","","-2.0000"
"DEXIM APPSPEED MONSTER TRUCK","Default Location","","1.0000"
"DG7GMGF0D7FZ OFFICE LTSC STANDARD 2021	  ","Default Location","","1.0000"
"DH-HAC-HFW224EN-A","Default Location","","1.0000"
"DH-HCVR5432L-S2 TRI BRID 16 CH DVR","Default Location","","1.0000"
"DIAGONAL PLIER 7"" BT1021","Default Location","","1.0000"
"DIAMOND CUTTER 4"" DRY CUTTING KYK","Default Location","","2.0000"
"DIAMOND CUTTING WHEEL SEG 4","Default Location","","2.0000"
"DIGIBABE CABLE FJ241 IPHONE 5 / IPAD MINI PURPLE","Default Location","","1.0000"
"DIGIBABE CASE EL002 GALAXY NOTE 2 FUSHIA PINK","Default Location","","1.0000"
"DIGIBABE CASE EL002 GALAXY NOTE 2 RED","Default Location","","1.0000"
"DIGIBABE CASE EL002 IPHONE 5 BLACK","Default Location","","1.0000"
"DIGIBABE CASE EL002 IPHONE 5 PINK","Default Location","","2.0000"
"DIGIBABE CASE EL002 IPHONE 5 VIOLET","Default Location","","1.0000"
"DIGIBABE CASE K0132 IPAD MINI WITH HOLE BLUE","Default Location","","1.0000"
"DIGIBABE POUCH DA312 POLKADOTS BIG","Default Location","","1.0000"
"DIGITAL CCD CAMERA NK-7512","Default Location","","6.0000"
"DIGITAL PERSONA U ARE U FINGERPRINT READER","Default Location","","8.0000"
"DIGITAL THERMOMETER","Default Location","","150.0000"
"DIGITAL VOICE RECORDER UX SERIES - UX570 (RECHARGEABLE)","Default Location","","-2.0000"
"DILIS ","Default Location","","5350.0000"
"DIN RAIL","Default Location","","4.0000"
"DINTEK CAT6 UTP CABLE","Default Location","","26.0000"
"DIODE 18V","Default Location","","1.0000"
"DIODE 1AMP","Default Location","","18.0000"
"DIODE 1N4006","Default Location","","3.0000"
"DIODE ZENER","Default Location","","4.0000"
"DIPPER","Default Location","","5.0000"
"DIRECT ATTACH CABLE SFP 3 METERS","Default Location","","1.0000"
"DIRECT ATTACHED CABLE UC-DAC-SFP+","Default Location","","2.0000"
"DISCRETE DISTRIBUTION MODULE PANEL SL UTP 1U 24PORT","Default Location","","36.0000"
"DISHWASHING LIQUID ECO","Default Location","","151.0000"
"DISHWASHING LQD","Default Location","","2.0000"
"DJ SCORPIO DEEP CYCLE BATTERY","Default Location","","2.0000"
"DJ SCORPIO TV BRACKET 26-S0","Default Location","","1.0000"
"DJ SCORPIO TV BRACKET TILT 14-42","Default Location","","8.0000"
"D-link CAT6 CABLE","Default Location","","1.0000"
"DLINK DCS-930L CLOUD CAMERA","Default Location","","-1.0000"
"DLINK DCS-930L WIRELESS NETWORK CAMERA","Default Location","","1.0000"
"DLINK DES-1016D","Default Location","","1.0000"
"DLINK DGS-1008A 8-PORT GIGABIT SWITCH","Default Location","","-1.0000"
"DLINK DGS-1024D","Default Location","","2.0000"
"DLINK DGS1210-24","Default Location","","1.0000"
"DLINK DGS-1210-28/E 24-PORT NETWORK SWITCH","Default Location","","1.0000"
"DLINK DIR-615 WIRELESS 300MBP","Default Location","","1.0000"
"D-LINK SWITCH DGS- 1008A","Default Location","","-1.0000"
"DLINK UTP CAT5E","Default Location","","1109.0000"
"DONGA FINE TECH BLK 0.3","Default Location","","11.0000"
"DONGA FINE TECH BLK 0.4","Default Location","","11.0000"
"DONGA REFILL 0.3 BLACK","Default Location","","35.0000"
"DONG-A REFILL BLACK 0.5","Default Location","","6.0000"
"DOORMAT COTTON","Default Location","","103.0000"
"DORA MANGO BALLS","Default Location","","32.0000"
"DORA ORANGE BALLS","Default Location","","32.0000"
"DOTS KEIKO 60G","Default Location","","32.0000"
"DOUBLE INSULATED CABLE/BLACK TUBE","Default Location","","573.0000"
"DOUBLE OUTLET","Default Location","","1.0000"
"DOUBLE SIDED TAPE 1""","Default Location","","1.0000"
"DOWELL SIDE CUTTER","Default Location","","1.0000"
"DP U ARE U FINGER PRINT SCANNER","Default Location","","1.0000"
"DPS-220TB B SFF PSU","Default Location","","1.0000"
"DRESSMAKIN PIN PAD","Default Location","","10.0000"
"DRIED EGG NOODLES 100G","Default Location","","10.0000"
"DRIED MANGO SLICE 500G","Default Location","","4.0000"
"DRILL BIT 1/2","Default Location","","3.0000"
"DRILL BIT 1/4","Default Location","","13.0000"
"DRILL BIT 1/8","Default Location","","17.0000"
"DRILL BIT 3/16","Default Location","","5.0000"
"DRILL BIT 3/8","Default Location","","7.0000"
"DRILL BIT 5/16","Default Location","","1.0000"
"DRILL BIT 5/32","Default Location","","2.0000"
"DRILL BIT 6 X 110MM","Default Location","","1.0000"
"DRILL BIT 8X100X160MM","Default Location","","3.0000"
"DRILL BIT COBALT 10MM","Default Location","","1.0000"
"DROP WIRE #4","Default Location","","75.0000"
"DS-1100Kl NETWORK KEYBOARD","Default Location","","1.0000"
"DS-1260ZJ POWER INTAKE JUNCTION BOX ","Default Location","","7.0000"
"DS-1602ZJ WALL MOUNT BRACKET","Default Location","","2.0000"
"DS-1602ZJ-BOX","Default Location","","2.0000"
"DS-2CD2643G0-IZS BULLET CAMERA","Default Location","","7.0000"
"DS-2CD5A46GO-IZS","Default Location","","2.0000"
"DS-2CE16D0T-IT1F 3.6mm HD1080P EXIR Bullet Camera","Default Location","","12.0000"
"DS-2DE44251W-DE SURVEILLANCE CAMERA","Default Location","","2.0000"
"DSC  NASHUA DVD+R 16X 4.7GB GRADE-A 10/BOX","Default Location","","40.0000"
"DS-K1T341CMFW HIKVISION FACE AND FINGERRPRINT RECOGNITION TERMINAL","Default Location","","1.0000"
"DUAL 31 BAND EQUALIZER","Default Location","","1.0000"
"DUCT TAPE","Default Location","","150.0000"
"DUPLEX WIRE # 12/7","Default Location","","15.0000"
"DUPLEX WIRE # 4","Default Location","","8.0000"
"Duplex Wire /ACSR #6  Guy Wire","Default Location","","300.0000"
"DUPLICATE KEY","Default Location","","-1.0000"
"DURAFLEX JACKETED TELEPHONE WIRE 22/4","Default Location","","89.0000"
"DUST BRUSH AND PAN","Default Location","","1.0000"
"DUST MASK","Default Location","","2.0000"
"DUSTPAN","Default Location","","53.0000"
"DVD-R DUAL LAYER","Default Location","","8.0000"
"DVR ADAPTOR 12V 5A","Default Location","","1.0000"
"DVR BRACKET","Default Location","","1.0000"
"DVR CMOS BATTERY WITH CASE","Default Location","","-2.0000"
"DYEWAX SMALL  225G","Default Location","","486.0000"
"DYNA BOLT 1/2","Default Location","","8.0000"
"DYNA BOLT 3/8 X 75","Default Location","","7.0000"
"EAGLE FUSE 30A","Default Location","","1.0000"
"EAGLE HSS STEP DRILL BITS 14 TO 34","Default Location","","1.0000"
"EAGLE OUTLET 2GANG ","Default Location","","-1.0000"
"EAGLE PLUG","Default Location","","6.0000"
"EAGLE PLUG 3 PRONG","Default Location","","1.0000"
"EAGLE RUBBER PLUG","Default Location","","12.0000"
"EAGLE SWITCH","Default Location","","10.0000"
"EAGLE TOGGLE SWITCH 1 WAY","Default Location","","3.0000"
"EAGLE TROUBLE LIGHT SOCKET","Default Location","","1.0000"
"EAGLE WHITE FOLDER LONG","Default Location","","648.0000"
"EAGLE WHITE FOLDER SHORT","Default Location","","931.0000"
"EASY SING 10A-020054 BLACK","Default Location","","1.0000"
"EASY SING 10A-020090 WHITE","Default Location","","1.0000"
"EASYWAY 1105TC-2U(A) MOBILE PHONE CHARGER ","Default Location","","1.0000"
"EB-2401","Default Location","","2.0000"
"EC LINE EC-CD10011 CASH DRAWER RJ11","Default Location","","2.0000"
"EDGE ROUTER LITE","Default Location","","2.0000"
"EDGEMAX ERLITE-3 ROUTER","Default Location","","4.0000"
"EDGEROUTER PRO 8","Default Location","","1.0000"
"EDIFIER X100","Default Location","","-7.0000"
"EDIMAX EA-CK15 15M","Default Location","","4.0000"
"EDIMAX EN9235TX-32","Default Location","","2.0000"
"EDIMAX EW-7711IN WIFI PCI LAN CARD WIRELESS LAN","Default Location","","4.0000"
"EDIMAX EW-7811UN WIRELESS USB ADAPTER","Default Location","","1.0000"
"EEEPC HT-2068 SCREEN PROTECTOR","Default Location","","16.0000"
"ELASTOMERIC PAINT DARK IVORY 1GAL","Default Location","","9.0000"
"ELASTOMERIC PAINT WHITE 1L","Default Location","","1.0000"
"ELBOW 1""","Default Location","","30.0000"
"ELBOW 1/2","Default Location","","89.0000"
"ELBOW 3/4","Default Location","","50.0000"
"ELECTRICAL PIPE 1""","Default Location","","2.0000"
"ELECTRICAL TAPE","Default Location","","91.0000"
"ELECTRICAL WIRE NONMETALLIC 12/2 X 75M","Default Location","","75.0000"
"ELECTRICAL WIRE NONMETALLIC 14/2 X 75M","Default Location","","75.0000"
"ELECTRON 700W POWER SUPPLY","Default Location","","18.0000"
"ELECTRON BATTERY NS40","Default Location","","1.0000"
"ELECTRON PLUS 700W POWER SUPPLY","Default Location","","10.0000"
"ELECTRONIC CAPACITOR 1000UF 16VA","Default Location","","4.0000"
"ELECTRONIC CAPACITOR 220UF 200V","Default Location","","2.0000"
"ELECTROWELD E6011 1KG","Default Location","","1.0000"
"ELEMENTARY CLASS RECORD","Default Location","","77.0000"
"ELEMENTARY DAILY LESSON LOG","Default Location","","7.0000"
"ELEMENTARY DAILY LESSON PLAN","Default Location","","70.0000"
"ELEMENTARY GRADING SHEET","Default Location","","68.0000"
"ELEVATOR CABLE","Default Location","","-48.0000"
"E-LINE METAL PIPE HANGER 1","Default Location","","50.0000"
"ELMERS GLUE","Default Location","","32.0000"
"ELMERS GLUE 130G","Default Location","","90.0000"
"ELMERS GLUE 1GAL","Default Location","","6.0000"
"ELMERS GLUE 240G","Default Location","","70.0000"
"ELMERS GLUE 40G","Default Location","","-44.0000"
"EMACHINE E190HQVB","Default Location","","1.0000"
"EMAXX EMX-M0F810031-56K MODEM","Default Location","","1.0000"
"EMAXX MCP61D3-ICAFE GF6150SE DDR3","Default Location","","1.0000"
"EMAXX REBEL MINI-ATX","Default Location","","2.0000"
"EMERSON PSA 1000MT3-230U PSA 1000VA 230V AVR","Default Location","","5.0000"
"EMERSON PSA 1500MT3-230U PSA 1500VA 230V AVR","Default Location","","1.0000"
"EMPEROR SAMSUNG GALAXY NOTE 2 CASE BLACK","Default Location","","2.0000"
"EMT  COUPLING 1/2""","Default Location","","482.0000"
"EMT ADAPTER 1""","Default Location","","70.0000"
"EMT ADAPTER 1/2""","Default Location","","490.0000"
"EMT CLAMP 1""","Default Location","","40.0000"
"EMT CLAMP 1/2""","Default Location","","74.0000"
"EMT CLAMP 3/4""","Default Location","","60.0000"
"EMT CONDUIT 1""","Default Location","","8.0000"
"EMT CONNECTOR 1""","Default Location","","10.0000"
"EMT CONNECTOR 1/2""","Default Location","","160.0000"
"EMT CONNECTOR 2""","Default Location","","5.0000"
"EMT COUPLING 1""","Default Location","","142.0000"
"EMT COUPLING 1/2","Default Location","","165.0000"
"EMT COUPLING 1/2""","Default Location","","238.0000"
"EMT COUPLING 3/4""","Default Location","","50.0000"
"EMT ELBOW 1""","Default Location","","55.0000"
"EMT ELBOW 1/2""","Default Location","","336.0000"
"EMT ELBOW 3/4""","Default Location","","10.0000"
"EMT JUNCTION BOX WITH COVER","Default Location","","67.0000"
"EMT PIPE 1""","Default Location","","102.0000"
"EMT PIPE 1/2","Default Location","","479.0000"
"EMT PIPE 3/4""","Default Location","","10.0000"
"EMT STRAIGHT CONNECTOR  2""","Default Location","","5.0000"
"ENAMEL  QUICK DRY BLUE 1 GAL","Default Location","","1.0000"
"ENAMEL BLUE DENIM RAIN/SHINE 2G","Default Location","","2.0000"
"ENAMEL HAPPY DAYS RAIN/SHINE 2GAL","Default Location","","1.0000"
"ENAMEL PAINT BLACK QRT","Default Location","","3.0000"
"ENAMEL PAINT BROWN GAL","Default Location","","1.0000"
"ENAMEL PAINT BROWN QRT","Default Location","","1.0000"
"ENAMEL PAINT ORANGE 1/4 G","Default Location","","1.0000"
"ENAMEL PAINT PEACH GALLON","Default Location","","2.5000"
"ENAMEL PAINT WHITE 1GAL","Default Location","","10.0000"
"ENAMEL PRINCESS RAIN/SHINE  2GAL","Default Location","","2.0000"
"ENAMEL QUICK DRY DIRTY WHITE GLOSS HALF QUART","Default Location","","1.0000"
"ENAMEL QUICK DRY WHITE GLOSS","Default Location","","6.0000"
"ENAMEL SUNKISS RAIN/SHINE 2GAL","Default Location","","2.0000"
"ENCLOSURE PANEL IN NEMA 3R OUTDOOR TYPE HEIGHT 16” X WIDTH 14” X DEPTH 8” ","Default Location","","4.0000"
"END ADAPTER","Default Location","","-12.0000"
"END POST WITH INSULATOR","Default Location","","2.0000"
"ENDURO N50 BATTERY","Default Location","","3.0000"
"ENTRANCE CAP 1/2","Default Location","","-1.0000"
"ENVELOPE EXPANDABLE A4","Default Location","","-120.0000"
"EPOXY 1L","Default Location","","2.0000"
"EPOXY PIONEER","Default Location","","1.0000"
"EPRAIZER MHL-250 MHL TO HDMI TV ADAPTER","Default Location","","1.0000"
"EPSOLAR LS1024R","Default Location","","4.0000"
"EPSON 8750 RIBBON CARTRIDGE","Default Location","","1.0000"
"EPSON EB-S31 H719C MULTI MEDIA PROJECTOR","Default Location","","1.0000"
"EPSON ECOTANK L5290 A4 WI-FI ALL-IN-ONE INK TANK PRINTER WITH ADF","Default Location","","1.0000"
"EPSON EZ 70 X 70 TRIPOD PROJECTOR SCREEN","Default Location","","1.0000"
"EPSON INK 003 BLACK BOTTLE","Default Location","","159.0000"
"EPSON INK 003 CYAN BOTTLE","Default Location","","89.0000"
"EPSON INK 003 MAGENTA BOTTLE","Default Location","","89.0000"
"EPSON INK 003 YELLOW BOTTLE","Default Location","","89.0000"
"EPSON INK 664 BLACK BOTTLE","Default Location","","158.0000"
"EPSON INK 664 CYAN BOTTLE","Default Location","","103.0000"
"EPSON INK 664 MAGENTA BOTTLE","Default Location","","110.0000"
"EPSON INK 664 YELLOW BOTTLE","Default Location","","102.0000"
"EPSON INK 673 CYAN","Default Location","","-1.0000"
"EPSON INK 673 LIGHT CYAN","Default Location","","1.0000"
"EPSON INK 673 LIGHT MAGENTA","Default Location","","1.0000"
"EPSON INK 673 MAGENTA","Default Location","","-1.0000"
"Epson Ink C13T06G100P9 008 Black Pigment, 127ml","Default Location","","4.0000"
"Epson Ink C13T06G200P9 008 Cyan Pigment, 70ml","Default Location","","2.0000"
"Epson Ink C13T06G300P9 008 Magenta Pigment, 70ml","Default Location","","2.0000"
"Epson Ink C13T06G400P9 008 Yellow Pigment, 70ml","Default Location","","2.0000"
"EPSON L1110 INK TANK PRINTER","Default Location","","-1.0000"
"EPSON L120 INKJET PRINTER","Default Location","","23.0000"
"EPSON L121","Default Location","","3.0000"
"EPSON L15150 PRINTER","Default Location","","1.0000"
"EPSON L220 3 IN 1 PRINTER","Default Location","","4.0000"
"EPSON L3110 3 IN 1 CONTINUOUS INK PRINTER","Default Location","","-4.0000"
"EPSON L3210 ALL-IN-ONE INK TANK PRINTER","Default Location","","6.0000"
"EPSON L3250 WIFI ALL-IN-ONE INK TANK PRINTER","Default Location","","4.0000"
"EPSON L355 ALL IN ONE INKJET PRINTER ","Default Location","","1.0000"
"EPSON L360 3 IN 1 PRINTER","Default Location","","21.0000"
"EPSON L365 PRINTER","Default Location","","1.0000"
"EPSON L805 INK TANK PHOTO PRINTER","Default Location","","1.0000"
"EPSON LX-300 PRINTER","Default Location","","-1.0000"
"EPSON PRINTER ECOTANK  L5290","Default Location","","2.0000"
"EPSON TMT 82 USB PRINTER","Default Location","","2.0000"
"EPSON TM-U220D POS PRINTER","Default Location","","-4.0000"
"EPSON TM-U220PD POS PRINTER USB","Default Location","","1.0000"
"ERASER","Default Location","","2004.0000"
"ERASER BLACKBOARD","Default Location","","27.0000"
"ERICO-CRITEC TVSS TDX COMPACT 240V 2W+G 100KA/PH","Default Location","","4.0000"
"ER-LITE - 3","Default Location","","1.0000"
"ESME ACE-HD-001A","Default Location","","7.0000"
"ESME ACE-IPAD-009A","Default Location","","2.0000"
"ETEN PSD 211G POE EXTENDER","Default Location","","4.0000"
"ETHERNET SURGE PROTECTOR ETH-SP","Default Location","","16.0000"
"ETHERNET SURGE PROTECTOR ETH-SP-G2","Default Location","","34.0000"
"ETHERNET UTP7204GE-HPOE 4 PORTS GIGABIT HPOE SWITCH","Default Location","","4.0000"
"EVELON CORD #20","Default Location","","10.0000"
"EVEREADY BATTERY AA","Default Location","","19.0000"
"EVEREADY BATTERY AA PAIRS","Default Location","","5.0000"
"EVEREADY BATTERY AAA PAIRS","Default Location","","5.0000"
"EVEREADY BATTERY SIZE C","Default Location","","8.0000"
"EVEREST WINDOW TYPE AIRCON 2.0HP ETM20WDR2GPHT","Default Location","","1.0000"
"EXCESS COPPER TUBE","Default Location","","10.0000"
"EXECUTIVE CHAIR HBC-109  HI BACK WITH SOFT ARMREST","Default Location","","1.0000"
"EXECUTIVE CHAIR IF 1088","Default Location","","1.0000"
"EXECUTIVE CHAIR TX-ME0204","Default Location","","3.0000"
"EXECUTIVE CHAIR UT-C300","Default Location","","14.0000"
"EXECUTIVE CHAIR UT-C576","Default Location","","2.0000"
"EXECUTIVE TABLE 71403","Default Location","","1.0000"
"EXECUTIVE TABLE SK-8816","Default Location","","1.0000"
"EXPANDING ENVELOPE LONG CLR","Default Location","","36.0000"
"EXPANDING ENVELOPE LONG KRAFT","Default Location","","67.0000"
"EXPANDING ENVELOPE LONG LAVANDER","Default Location","","48.0000"
"EXPANDING ENVELOPE WITH TIE YELLOW","Default Location","","1.0000"
"EXPANDING FOLDER LONG ASST","Default Location","","35.0000"
"EXPANDING FOLDER LONG GREEN","Default Location","","115.0000"
"EXPANDING FOLDER LONG YELLOW","Default Location","","5.0000"
"EXPANSION SEAL 1/2","Default Location","","26.0000"
"EXPANSION SEAL 3/8","Default Location","","68.0000"
"EXPANSION SEAL 3/8 LONG","Default Location","","29.0000"
"EXPANSION SEAL 3/8 SHORT","Default Location","","8.0000"
"EXPANSION SEAL 3/8 SHORT WITH LOCK SCREW 2","Default Location","","150.0000"
"EXPANSION SEAL 3/8 WITH LOCK SCREW 1-1/2","Default Location","","40.0000"
"EXPANSION SEAL 5/16""","Default Location","","36.0000"
"EXPANSION SEAL W/ SCREW 5/16","Default Location","","5.0000"
"expansion shield","Default Location","","201.0000"
"EXTENSION WIRE 10 GANG","Default Location","","-5.0000"
"EXTENTION WIRE 250V","Default Location","","-5.0000"
"EXTERNAL HARD DRIVE 5TB","Default Location","","-2.0000"
"EYE TERMINAL 14-85","Default Location","","2.0000"
"EZ ODE L. YELLOW 1GAL","Default Location","","1.0000"
"F2TP CABLE 4 PAIRS CAT5E 500M","Default Location","","2.0000"
"FABER CASTELL BALLPEN LV5 RED","Default Location","","68.0000"
"FABRIC SOFTENER KARE 3.8 LIT","Default Location","","2.0000"
"FABRIC SOFTENER ROMA 3.8 LIT","Default Location","","2.0000"
"FABRICATION","Default Location","","1.0000"
"FACE PLATE HOLDER A","Default Location","","32.0000"
"FACE PLATE SHUTTERED 1 GANG","Default Location","","44.0000"
"FACE PLATE SHUTTERED 2 GANG","Default Location","","65.0000"
"FACEPLATE 1 PORT","Default Location","","11.0000"
"FACEPLATE 2 PORT","Default Location","","1.0000"
"FACEPLATE PP COVER","Default Location","","200.0000"
"FAN BEARING TYPE","Default Location","","29.0000"
"FANVIL PA2 PAGING ","Default Location","","1.0000"
"FASTENER-PLASTIC ","Default Location","","5.0000"
"FAUCET BRASS 1/2""","Default Location","","20.0000"
"FAUCET PVC 1/2","Default Location","","6.0000"
"FBWLCUC11-JXF 003","Default Location","","48.0000"
"FEATHER DUSTER","Default Location","","35.0000"
"FEMALE CONNECTOR","Default Location","","2.0000"
"FEMALE PLUG","Default Location","","2.0000"
"FEMME BATHROOM TISSUE 2PLY","Default Location","","70.0000"
"FIBER CABLE 1 CORE OUTDOOR WITH MSGR DROP 1KM ","Default Location","","1.0000"
"FIBER OPTIC CABLE (8 CORE)","Default Location","","80.0000"
"FIBER PATCH CORD SC-LC (2M)","Default Location","","2.0000"
"FIBER PATCH PANEL (8 CORE) LOADED W/ SLICING TRAY AND CONNECTOR","Default Location","","2.0000"
"FIBER SINGE CORE CABLE","Default Location","","3.0000"
"FIBER TERMINATION BOX + DUAL SC CONNECTOR","Default Location","","1.0000"
"FILE FOLDER DATAMAN","Default Location","","54.0000"
"FILE FOLDER LONG YELLOW WIZARD","Default Location","","6.0000"
"FILLER BOX DATA FILE","Default Location","","-2.0000"
"FINISH NAIL 2","Default Location","","1.0000"
"FINISHING NAIL 3""","Default Location","","1.0000"
"FINISHING NET # 5","Default Location","","600.0000"
"FINISHING NET # 6","Default Location","","1200.0000"
"FIRE ALARM BOX","Default Location","","1.0000"
"FIRE ALARM SWITCH","Default Location","","1.0000"
"FIRE HOSE 1-1/2 X 50","Default Location","","1.0000"
"FIRE HOSE NOZZLE 1-1/2 X10""","Default Location","","2.0000"
"FIREFLY FEL201L EMERGENCY LIGHT","Default Location","","30.0000"
"FIREFLY LIGHTBULB 18W DL","Default Location","","1.0000"
"FIREFLY RECHARGEABLE LAMP FEL511 22O VOLTS 60 HZ 1W ","Default Location","","1.0000"
