"DefaultValue","CustomValue"
"Compound Secondary Tax On Primary","Compound Secondary Tax On Primary"
"Computers Activated:","Computers Activated:"
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Connect","Connect"
"Connect from Connection Settings File","Connect from Connection Settings File"
"Connect Manually","Connect Manually"
"Connect to Server:","Connect to Server:"
"Connect with Connection Settings","Connect with Connection Settings"
"Connected","Connected"
"Connected (Locally)","Connected (Locally)"
"Connected (Remotely)","Connected (Remotely)"
"Connected!","Connected!"
"Connection problem with inFlowInventory.com","Connection problem with inFlowInventory.com"
"Connection Settings","Connection Settings"
"Connection successful!","Connection successful!"
"Connection to database has been lost.  Try restarting inFlow.","Connection to database has been lost.  Try restarting inFlow."
"Contact","Contact"
"Contact :","Contact :"
"Contact Name","Contact Name"
"ContactName","ContactName"
"Contains a list of references used for quicker data entry in inFlow.","Contains a list of references used for quicker data entry in inFlow."
"Contains information of your company.  Also sets options that will be used for the whole company.","Contains information of your company.  Also sets options that will be used for the whole company."
"Context Article 1","Context Article 1"
"Context Article 2","Context Article 2"
"Continue to use inFlow Free Edition - It's good for up to 100 products + customers.","Continue to use inFlow Free Edition - It's good for up to 100 products + customers."
"Control ""Save as Default""","Control ""Save as Default"""
"Conversion","Conversion"
"Convert &To Order","Convert &To Order"
"Convert Pictures to JPG","Convert Pictures to JPG"
"Convert the following:","Convert the following:"
"Converted Costs","Converted Costs"
"Converting Quote to Order...","Converting Quote to Order..."
"Copy","Copy"
"Copy &Customer","Copy &Customer"
"Copy &from...","Copy &from..."
"Copy &Vendor","Copy &Vendor"
"Copy Count Sheet  (Ctrl+D)","Copy Count Sheet  (Ctrl+D)"
"Copy Customer  (Ctrl+D)","Copy Customer  (Ctrl+D)"
"Copy PO","Copy PO"
"Copy Product  (Ctrl+D)","Copy Product  (Ctrl+D)"
"Copy Purchase Order  (Ctrl+D)","Copy Purchase Order  (Ctrl+D)"
"Copy Sales Order  (Ctrl+D)","Copy Sales Order  (Ctrl+D)"
"Copy SO","Copy SO"
"Copy Vendor  (Ctrl+D)","Copy Vendor  (Ctrl+D)"
"Copy Work Order  (Ctrl+D)","Copy Work Order  (Ctrl+D)"
"Cost","Cost"
"Cost Adjustment","Cost Adjustment"
"Cost After","Cost After"
"Cost Before","Cost Before"
"Cost Info","Cost Info"
"Cost of Goods Sold","Cost of Goods Sold"
"Cost Value of Inventory","Cost Value of Inventory"
"Costing Info","Costing Info"
"Costing Method","Costing Method"
"Costs Received","Costs Received"
"Could not connect to the inFlow database.  Please check:\n- The server name is correct\n- Multi-user mode is enabled on the server computer\n- The server computer is on and not in standby mode\n- The server computer is plugged in to the network\n- This computer is plugged in to the network","Could not connect to the inFlow database.  Please check:\n- The server name is correct\n- Multi-user mode is enabled on the server computer\n- The server computer is on and not in standby mode\n- The server computer is plugged in to the network\n- This computer is plugged in to the network"
"Could not find inFlow Inventory installation Installer.log file.","Could not find inFlow Inventory installation Installer.log file."
"Could not find inFlow Inventory Installer.log file.","Could not find inFlow Inventory Installer.log file."
"Could not find inFlow Inventory SQL Setup log file.","Could not find inFlow Inventory SQL Setup log file."
"Could not find Microsoft SQL Server installation Summary.txt file.","Could not find Microsoft SQL Server installation Summary.txt file."
"Could not open file, or it's not a valid image.","Could not open file, or it's not a valid image."
"Could not re-attach database.","Could not re-attach database."
"Could not verify the signature on the activation key","Could not verify the signature on the activation key"
"Could not verify the signature on the trial key","Could not verify the signature on the trial key"
"Couldn't detect operation status","Couldn't detect operation status"
"Couldn't find updated inFlow version.  You may not be connected to the internet.  Please visit www.inflowinventory.com when possible for update support.","Couldn't find updated inFlow version.  You may not be connected to the internet.  Please visit www.inflowinventory.com when possible for update support."
"Couldn't find updated inFlow version.  You may not be connected to the internet.  Please visit www.inflowinventory.com when possible for upgrade support.","Couldn't find updated inFlow version.  You may not be connected to the internet.  Please visit www.inflowinventory.com when possible for upgrade support."
"Count Sheet","Count Sheet"
"Count Sheet #","Count Sheet #"
"Count Sheet Report","Count Sheet Report"
"Count Sheet snapshot taken with no changes.","Count Sheet snapshot taken with no changes."
"Count Sheet snapshot taken!","Count Sheet snapshot taken!"
"Count Sheet stock adjustment completed!","Count Sheet stock adjustment completed!"
"Count Sheet successfully cancelled!","Count Sheet successfully cancelled!"
"Count Sheet version","Count Sheet version"
"Count Sheet was already cancelled or complete, no saving occurred!","Count Sheet was already cancelled or complete, no saving occurred!"
"Count Sheets","Count Sheets"
"COUNT SHEETS","COUNT SHEETS"
"count sheets for stock counting","count sheets for stock counting"
"Count Stock","Count Stock"
"Counted By","Counted By"
"Counted Quantity","Counted Quantity"
"Countries, States/Provinces, and Cities.","Countries, States/Provinces, and Cities."
"Country","Country"
"Country, State/Province, City","Country, State/Province, City"
"CountSheet","CountSheet"
"CountSheet-","CountSheet-"
"Create &Customer","Create &Customer"
"Create &Purchase Order","Create &Purchase Order"
"Create &SO","Create &SO"
"Create &Vendor","Create &Vendor"
"Create &Work Order","Create &Work Order"
"Create <a action=""300"" tab=""102"">Purchase Order</a> to buy inventory from a vendor.","Create <a action=""300"" tab=""102"">Purchase Order</a> to buy inventory from a vendor."
"Create a <a action=""300"" tab=""102"">Purchase Order</a> to buy more inventory from a vendor.","Create a <a action=""300"" tab=""102"">Purchase Order</a> to buy more inventory from a vendor."
"Create a new count sheet with the exact same information as this current purchase order.","Create a new count sheet with the exact same information as this current purchase order."
"Create a new count sheet.","Create a new count sheet."
"Create a new customer with the exact same information as this current purchase order.","Create a new customer with the exact same information as this current purchase order."
"Create a new customer.","Create a new customer."
"Create a new product or service.","Create a new product or service."
"Create a new product with the same basic information as this current product.","Create a new product with the same basic information as this current product."
"Create a new Purchase Order to be sent to a vendor.  The whole purchasing process will be tracked by the Purchase Order.","Create a new Purchase Order to be sent to a vendor.  The whole purchasing process will be tracked by the Purchase Order."
"Create a new purchase order with the exact same information as this current purchase order.","Create a new purchase order with the exact same information as this current purchase order."
"Create a new purchase order.","Create a new purchase order."
"Create a new Sales Order for a customer.  The whole sales process will be tracked by the Sales Order.","Create a new Sales Order for a customer.  The whole sales process will be tracked by the Sales Order."
"Create a new sales order with the exact same information as this current sales order.","Create a new sales order with the exact same information as this current sales order."
"Create a new sales order.","Create a new sales order."
"Create a new type of custom document","Create a new type of custom document"
"Create a new vendor with the exact same information as this current purchase order.","Create a new vendor with the exact same information as this current purchase order."
"Create a new vendor.","Create a new vendor."
"Create a new work order with the exact same information as this current work order.","Create a new work order with the exact same information as this current work order."
"Create a new work order.","Create a new work order."
"Create an invoice for the customer and collect payment for it.  Invoices can be created as part of a Sales Order, or stand-alone.","Create an invoice for the customer and collect payment for it.  Invoices can be created as part of a Sales Order, or stand-alone."
"Create Dropship PO","Create Dropship PO"
"Create PO","Create PO"
"Create Purchase Order(s) from the default vendors to reorder the products specified above.","Create Purchase Order(s) from the default vendors to reorder the products specified above."
"create separate user logins","create separate user logins"
"Create SO","Create SO"
"Create the report based on the settings specified above.","Create the report based on the settings specified above."
"Creating a Purchase Order","Creating a Purchase Order"
"Creating a Sales Order","Creating a Sales Order"
"Credit","Credit"
"Credit Card","Credit Card"
"Credit card information on file for this customer.","Credit card information on file for this customer."
"Credit Note","Credit Note"
"Credit Notes","Credit Notes"
"CreditNote","CreditNote"
"Currency","Currency"
"Currency :","Currency :"
"Currency Code","Currency Code"
"Currency Conversion","Currency Conversion"
"Currency exchange rate of 0 is not valid","Currency exchange rate of 0 is not valid"
"Currency Exchange Rates","Currency Exchange Rates"
"Current","Current"
"Current Backups","Current Backups"
"Current Connection Info","Current Connection Info"
"Current Inventory","Current Inventory"
"Current Quantity","Current Quantity"
"Current Stock","Current Stock"
"Current Stock Items","Current Stock Items"
"Current User:","Current User:"
"Currently trying {0} Edition","Currently trying {0} Edition"
"Currently viewing online articles.","Currently viewing online articles."
"Custom 1","Custom 1"
"Custom 2","Custom 2"
"Custom 3","Custom 3"
"Custom Date Range","Custom Date Range"
"Custom Docs","Custom Docs"
"Custom Document","Custom Document"
"Custom Documents","Custom Documents"
"Custom Field","Custom Field"
"Custom Field 1","Custom Field 1"
"Custom Field 10","Custom Field 10"
"Custom Field 2","Custom Field 2"
"Custom Field 3","Custom Field 3"
"Custom Field 4","Custom Field 4"
"Custom Field 5","Custom Field 5"
"Custom Field 6","Custom Field 6"
"Custom Field 7","Custom Field 7"
"Custom Field 8","Custom Field 8"
"Custom Field 9","Custom Field 9"
"Custom Fields","Custom Fields"
"Custom Info","Custom Info"
"Custom Info 1","Custom Info 1"
"Custom Info 2","Custom Info 2"
"Custom Info 3","Custom Info 3"
"Custom Languages","Custom Languages"
"Custom Text","Custom Text"
"Custom Text/Label","Custom Text/Label"
"Customer","Customer"
"CUSTOMER","CUSTOMER"
"Customer Info","Customer Info"
"Customer Information","Customer Information"
"Customer List","Customer List"
"Customer Listing","Customer Listing"
"Customer Order History","Customer Order History"
"CUSTOMER ORDER HISTORY","CUSTOMER ORDER HISTORY"
"Customer Payment Details","Customer Payment Details"
"CUSTOMER PAYMENT DETAILS","CUSTOMER PAYMENT DETAILS"
"Customer Payment Summary","Customer Payment Summary"
"Customer Payment\r\nSummary","Customer Payment\r\nSummary"
"Customer Payments Due","Customer Payments Due"
"Customer version","Customer version"
"Customer was not changed.  No saving occurred!","Customer was not changed.  No saving occurred!"
"Customer, Order","Customer, Order"
"Customer, Product","Customer, Product"
"Customer/Vendor Name","Customer/Vendor Name"
"Customers","Customers"
"CUSTOMERS","CUSTOMERS"
"Customers may return products to your company, and credits may be given to the customers for the return.","Customers may return products to your company, and credits may be given to the customers for the return."
"Customers w/ Highest A/R","Customers w/ Highest A/R"
"Customers w/ Highest Non-Invoiced Total","Customers w/ Highest Non-Invoiced Total"
"Customers w/ Highest Profit","Customers w/ Highest Profit"
"Customers w/ Highest Sales","Customers w/ Highest Sales"
"Customization","Customization"
"Customize","Customize"
"customize document look && feel","customize document look && feel"
"Customize inFlow to fit for your company by adding custom fields.","Customize inFlow to fit for your company by adding custom fields."
"Customize Reports","Customize Reports"
"Customize the report by hiding the columns you don't need.","Customize the report by hiding the columns you don't need."
"Customized Action Link","Customized Action Link"
"Cut","Cut"
"Darker Text Color","Darker Text Color"
"Dashboard","Dashboard"
"Data","Data"
"Data for your fifth custom field on the extra info tab of the customer information.","Data for your fifth custom field on the extra info tab of the customer information."
"Data for your fifth custom field on the extra info tab of the product information.","Data for your fifth custom field on the extra info tab of the product information."
"Data for your fifth custom field on the extra info tab of the vendor information.","Data for your fifth custom field on the extra info tab of the vendor information."
"Data for your fifth custom field on the main tab of the customer information.","Data for your fifth custom field on the main tab of the customer information."
"Data for your fifth custom field on the main tab of the product information.","Data for your fifth custom field on the main tab of the product information."
"Data for your first custom field in Purchase Orders.","Data for your first custom field in Purchase Orders."
"Data for your first custom field in Sales Orders.","Data for your first custom field in Sales Orders."
"Data for your first custom field on the extra info tab of the customer information.","Data for your first custom field on the extra info tab of the customer information."
"Data for your first custom field on the extra info tab of the product information.","Data for your first custom field on the extra info tab of the product information."
"Data for your first custom field on the extra info tab of the vendor information.","Data for your first custom field on the extra info tab of the vendor information."
"Data for your first custom field on the main tab of the customer information.","Data for your first custom field on the main tab of the customer information."
"Data for your first custom field on the main tab of the product information.","Data for your first custom field on the main tab of the product information."
"Data for your first custom field on the main tab of the vendor information.","Data for your first custom field on the main tab of the vendor information."
"Data for your fourth custom field on the extra info tab of the customer information.","Data for your fourth custom field on the extra info tab of the customer information."
"Data for your fourth custom field on the extra info tab of the product information.","Data for your fourth custom field on the extra info tab of the product information."
"Data for your fourth custom field on the extra info tab of the vendor information.","Data for your fourth custom field on the extra info tab of the vendor information."
"Data for your fourth custom field on the main tab of the customer information.","Data for your fourth custom field on the main tab of the customer information."
"Data for your fourth custom field on the main tab of the product information.","Data for your fourth custom field on the main tab of the product information."
"Data for your second custom field in Purchase Orders.","Data for your second custom field in Purchase Orders."
"Data for your second custom field in Sales Orders.","Data for your second custom field in Sales Orders."
"Data for your second custom field on the extra info tab of the customer information.","Data for your second custom field on the extra info tab of the customer information."
"Data for your second custom field on the extra info tab of the product information.","Data for your second custom field on the extra info tab of the product information."
"Data for your second custom field on the extra info tab of the vendor information.","Data for your second custom field on the extra info tab of the vendor information."
"Data for your second custom field on the main tab of the customer information.","Data for your second custom field on the main tab of the customer information."
"Data for your second custom field on the main tab of the product information.","Data for your second custom field on the main tab of the product information."
"Data for your third custom field in Purchase Orders.","Data for your third custom field in Purchase Orders."
"Data for your third custom field in Sales Orders.","Data for your third custom field in Sales Orders."
"Data for your third custom field on the extra info tab of the customer information.","Data for your third custom field on the extra info tab of the customer information."
"Data for your third custom field on the extra info tab of the product information.","Data for your third custom field on the extra info tab of the product information."
"Data for your third custom field on the extra info tab of the vendor information.","Data for your third custom field on the extra info tab of the vendor information."
"Data for your third custom field on the main tab of the customer information.","Data for your third custom field on the main tab of the customer information."
"Data for your third custom field on the main tab of the product information.","Data for your third custom field on the main tab of the product information."
"Data imported has formatting error.  Check if the data format is correct and no duplicated names are used.","Data imported has formatting error.  Check if the data format is correct and no duplicated names are used."
"Data Type","Data Type"
"Database","Database"
"Database backup failed.  Continue with update of database version?","Database backup failed.  Continue with update of database version?"
"Database backup failed.  Continue with upgrade of database version?","Database backup failed.  Continue with upgrade of database version?"
"Database Session changed to","Database Session changed to"
"Database Session read as","Database Session read as"
"Database Version:","Database Version:"
"Date","Date"
"Date :","Date :"
"Date Paid","Date Paid"
"Date Time","Date Time"
"Days","Days"
"Days Due","Days Due"
"Days Left","Days Left"
"days.","days."
"Deactivate","Deactivate"
"Deactivate inFlow","Deactivate inFlow"
"Deactivate this customer so that it will not be shown in other screens such as Sales Order.  Deactivated customers can be reactivated again in the future.","Deactivate this customer so that it will not be shown in other screens such as Sales Order.  Deactivated customers can be reactivated again in the future."
"Deactivate this product so that it will not be shown in other screens such as Sales Order.  Deactivated products can be reactivated again in the future.","Deactivate this product so that it will not be shown in other screens such as Sales Order.  Deactivated products can be reactivated again in the future."
"Deactivate this vendor so that it will not be shown in other screens such as Sales Order.  Deactivated vendors can be reactivated again in the future.","Deactivate this vendor so that it will not be shown in other screens such as Sales Order.  Deactivated vendors can be reactivated again in the future."
"Deactivate/Reactivate Customer  (Ctrl+T)","Deactivate/Reactivate Customer  (Ctrl+T)"
"Deactivate/Reactivate Product  (Ctrl+T)","Deactivate/Reactivate Product  (Ctrl+T)"
"Deactivate/Reactivate Vendor  (Ctrl+T)","Deactivate/Reactivate Vendor  (Ctrl+T)"
"Deactivated!","Deactivated!"
"Deactivating","Deactivating"
"Deactivating Customer...","Deactivating Customer..."
"Deactivating Product...","Deactivating Product..."
"Deactivating Vendor...","Deactivating Vendor..."
"Deduct &Inventory","Deduct &Inventory"
"Default Carrier","Default Carrier"
"Default Font Size","Default Font Size"
"Default Location","Default Location"
"Default Location Qty","Default Location Qty"
"Default Price","Default Price"
"Default Price From","Default Price From"
"Default Price To","Default Price To"
"Default Pricing / Currency","Default Pricing / Currency"
"Default Pricing Scheme","Default Pricing Scheme"
"Default Product Tax Code","Default Product Tax Code"
"Default Sales Rep","Default Sales Rep"
"Default Sublocation","Default Sublocation"
"Default Taxing Scheme","Default Taxing Scheme"
"Default Text","Default Text"
"Default Text/Label","Default Text/Label"
"Default Unit Price","Default Unit Price"
"Default User","Default User"
"Default Vendor","Default Vendor"
"Define what raw materials go into creating this finished product.  You can then use a Work Order to assemble this product.","Define what raw materials go into creating this finished product.  You can then use a Work Order to assemble this product."
"Delete","Delete"
"Delete any component not needed in this product assembly structure.","Delete any component not needed in this product assembly structure."
"Delete Current","Delete Current"
"Delete Current Address","Delete Current Address"
"Delete Row","Delete Row"
"Delete Selected Rows","Delete Selected Rows"
"Delete the currently selected category.","Delete the currently selected category."
"Delete the selected row(s).","Delete the selected row(s)."
"Denmark","Denmark"
"Description","Description"
"details","details"
"Details","Details"
"Detected status = failure","Detected status = failure"
"Detected status = success","Detected status = success"
"Difference","Difference"
"Diners Club","Diners Club"
"Directory doesn't exists.","Directory doesn't exists."
"disable","disable"
"Disabled","Disabled"
"Disabling Multi-User Mode","Disabling Multi-User Mode"
"Disabling TCP/IP connections to database...","Disabling TCP/IP connections to database..."
"Disconnect","Disconnect"
"Disconnected","Disconnected"
"Disconnecting users from inFlow...","Disconnecting users from inFlow..."
"Discount","Discount"
"Discount From","Discount From"
"Discount To","Discount To"
"Discounted Price","Discounted Price"
"DiscountIsPercent","DiscountIsPercent"
"Discover","Discover"
"Display","Display"
"Display Language","Display Language"
"Divided By","Divided By"
"Do any of your products or services have taxes charged differently than the rest of your products?","Do any of your products or services have taxes charged differently than the rest of your products?"
"Do questionnaire now (Recommended)","Do questionnaire now (Recommended)"
"Do you display two different types of sales taxes on invoices?","Do you display two different types of sales taxes on invoices?"
"Do you display two different types of sales taxes on invoices?\r\n\r\nFor example:\r\n- USA: No, all sales taxes are shown combined\r\n- Ontario, Canada: Yes, two types of tax are shown - PST and GST","Do you display two different types of sales taxes on invoices?\r\n\r\nFor example:\r\n- USA: No, all sales taxes are shown combined\r\n- Ontario, Canada: Yes, two types of tax are shown - PST and GST"
"Do you want to overwrite the existing order information with the defaults for the selected customer?","Do you want to overwrite the existing order information with the defaults for the selected customer?"
"Do you want to overwrite the existing order information with the defaults for the selected vendor?","Do you want to overwrite the existing order information with the defaults for the selected vendor?"
"Do you want to save these as the customer defaults?","Do you want to save these as the customer defaults?"
"Do you want to save these as the Customer defaults?","Do you want to save these as the Customer defaults?"
"Do you want to save these as the Customer/Product defaults?","Do you want to save these as the Customer/Product defaults?"
"Do you want to save these as the Product defaults?","Do you want to save these as the Product defaults?"
"Do you want to save these as the Vendor defaults?","Do you want to save these as the Vendor defaults?"
"Do you want to save these as the Vendor/Product defaults?","Do you want to save these as the Vendor/Product defaults?"
"Do you want to track your inventory more simply by just tracking Location?  Or more precisely by tracking Location and Sublocation?","Do you want to track your inventory more simply by just tracking Location?  Or more precisely by tracking Location and Sublocation?"
"Do you want to track your products more simply by just using a name or code?  Or more do you want more detailed descriptions for your products?","Do you want to track your products more simply by just using a name or code?  Or more do you want more detailed descriptions for your products?"
"Doc Name","Doc Name"
"Doc Type","Doc Type"
"Doc. Numbers","Doc. Numbers"
"Document Numbers","Document Numbers"
"Does your company ever add one or more sales taxes on invoices?","Does your company ever add one or more sales taxes on invoices?"
"Does your company ever add sales taxes on invoices?","Does your company ever add sales taxes on invoices?"
"Does your file have column headers in the first row?","Does your file have column headers in the first row?"
"Done screenshotting reports","Done screenshotting reports"
"Done!","Done!"
"Don't delay!  <a action=""605"" tab=""100"">Upgrade Today!</a>  10% off Discount valid for 48 hours only - Save money now!","Don't delay!  <a action=""605"" tab=""100"">Upgrade Today!</a>  10% off Discount valid for 48 hours only - Save money now!"
"Don't Forget - <a action=""605"" tab=""100"">Upgrade NOW, SAVE 8%</a> - Don't delay, Time really is money!","Don't Forget - <a action=""605"" tab=""100"">Upgrade NOW, SAVE 8%</a> - Don't delay, Time really is money!"
"Don't Overwrite","Don't Overwrite"
"Downgrade to Free","Downgrade to Free"
"Downgrade To Free","Downgrade To Free"
"Downgrade to Free Edition","Downgrade to Free Edition"
"Download our <a action=""801"" param=""http://www.inflowinventory.com/Redirect/QuickStartGuide"">Quick Start Guide</a> for step-by-step help","Download our <a action=""801"" param=""http://www.inflowinventory.com/Redirect/QuickStartGuide"">Quick Start Guide</a> for step-by-step help"
"Downloading updates, please wait...","Downloading updates, please wait..."
"Downloading...","Downloading..."
"Due Date","Due Date"
"Duplicate &PO","Duplicate &PO"
"E&xit","E&xit"
"Edit","Edit"
"Edit &Locations","Edit &Locations"
"Edit &Pricing / Currency","Edit &Pricing / Currency"
"Edit &Pricing Schemes","Edit &Pricing Schemes"
"Edit &Product Tax Codes","Edit &Product Tax Codes"
"Edit &Receiving Addresses","Edit &Receiving Addresses"
"Edit &Taxing Schemes","Edit &Taxing Schemes"
"Edit / History","Edit / History"
"Edit Currency &Conversion","Edit Currency &Conversion"
"edition","edition"
"Edition:","Edition:"
"Elegant solution for business.","Elegant solution for business."
"Email","Email"
"Email     :","Email     :"
"Email Address:","Email Address:"
"Email and password are not valid.  Please check that the info entered is correct.","Email and password are not valid.  Please check that the info entered is correct."
"Email us for support","Email us for support"
"Email:","Email:"
"enable","enable"
"Enabled","Enabled"
"Enabling TCP/IP connections to database...","Enabling TCP/IP connections to database..."
"End date is not specified properly in trial key","End date is not specified properly in trial key"
"Ending","Ending"
"End-of-doc Footer","End-of-doc Footer"
"End-of-Document Footer","End-of-Document Footer"
"End-of-Report Footer","End-of-Report Footer"
"English","English"
"Enter a name or category code for the new product category s be added.","Enter a name or category code for the new product category s be added."
"Enter a name or category code for the new product category to be added.","Enter a name or category code for the new product category to be added."
"Enter a new Vendor to buy from.","Enter a new Vendor to buy from."
"Enter a reason for why you are making this stock adjustment here.","Enter a reason for why you are making this stock adjustment here."
"Enter a reason for why you are making this stock transfer here.","Enter a reason for why you are making this stock transfer here."
"Enter in Trial Key","Enter in Trial Key"
"Enter in your <a action=""400"" tab=""102"">Products</a> or <a action=""103"" tab=""102"">Import</a> any existing data","Enter in your <a action=""400"" tab=""102"">Products</a> or <a action=""103"" tab=""102"">Import</a> any existing data"
"Enter some text to be displayed at the bottom of each page of your order, e.g. your company name, phone number and website.","Enter some text to be displayed at the bottom of each page of your order, e.g. your company name, phone number and website."
"Enter some text to be displayed at the end of each of your documents.","Enter some text to be displayed at the end of each of your documents."
"Enter some text to be displayed at the end of each of your reports","Enter some text to be displayed at the end of each of your reports"
"Enter your email address:","Enter your email address:"
"Enter your License Key:","Enter your License Key:"
"Entering Product Information","Entering Product Information"
"Error checking license status","Error checking license status"
"Error connecting to inFlow Web Service","Error connecting to inFlow Web Service"
"Error connecting to server database","Error connecting to server database"
"Error deleting category","Error deleting category"
"Error downloading patch.  To update, please download and run inFlow's installer from our website.","Error downloading patch.  To update, please download and run inFlow's installer from our website."
"Error exiting the program","Error exiting the program"
"Error exporting customers","Error exporting customers"
"Error exporting products","Error exporting products"
"Error exporting purchase orders","Error exporting purchase orders"
"Error exporting sales orders","Error exporting sales orders"
"Error exporting vendors","Error exporting vendors"
"Error generating custom document","Error generating custom document"
"Error generating document.  Please check the inFlow log file.","Error generating document.  Please check the inFlow log file."
"Error generating document.  Try changing your default printer settings to use a larger paper size.","Error generating document.  Try changing your default printer settings to use a larger paper size."
"Error generating preview.  Try changing your default printer settings to use a larger paper size.","Error generating preview.  Try changing your default printer settings to use a larger paper size."
"Error generating SOs","Error generating SOs"
"Error importing Bill of Materials","Error importing Bill of Materials"
"Error importing bom","Error importing bom"
"Error importing data type","Error importing data type"
"Error importing inventory","Error importing inventory"
"Error in report parameters","Error in report parameters"
"Error in selecting random status algorithm","Error in selecting random status algorithm"
"Error loading {0}. Check your connection.","Error loading {0}. Check your connection."
"Error loading document.","Error loading document."
"Error loading listing","Error loading listing"
"Error loading product information","Error loading product information"
"Error loading product inventory information","Error loading product inventory information"
"Error loading report","Error loading report"
"ERROR LOADING REPORT","ERROR LOADING REPORT"
"Error loading report.","Error loading report."
"Error mail merging document.  This might be because your custom document is not set up properly or is from a newer version of Word.","Error mail merging document.  This might be because your custom document is not set up properly or is from a newer version of Word."
"ERROR PROCESSING","ERROR PROCESSING"
"Error running configure CLR commands.\n\nError Message:","Error running configure CLR commands.\n\nError Message:"
"Error running patch.  You may need administrator access on your computer.  To update, please download and run inFlow's installer from our website.","Error running patch.  You may need administrator access on your computer.  To update, please download and run inFlow's installer from our website."
"Error Saving","Error Saving"
"Error Saving Key File","Error Saving Key File"
"Error Saving Trial Request Key File","Error Saving Trial Request Key File"
"Error Shipping","Error Shipping"
"Error updating inFlow database.","Error updating inFlow database."
"Error updating the database.\n\nError Message:","Error updating the database.\n\nError Message:"
"Error updating the software.","Error updating the software."
"Error while trying to commit edits to databinding","Error while trying to commit edits to databinding"
"Error with inFlow license activation","Error with inFlow license activation"
"Error with inFlow trial key","Error with inFlow trial key"
"Error: Cannot open this file.  Try closing other programs that might use this file.","Error: Cannot open this file.  Try closing other programs that might use this file."
"Error: Cannot read the file.  Please make sure the file's data format is correct.","Error: Cannot read the file.  Please make sure the file's data format is correct."
"Error: Failed to add firewall exceptions.","Error: Failed to add firewall exceptions."
"Error: Failed to disable TCP/IP connections to database.","Error: Failed to disable TCP/IP connections to database."
"Error: Failed to disconnect other users from inFlow.","Error: Failed to disconnect other users from inFlow."
"Error: Failed to enable TCP/IP connections.","Error: Failed to enable TCP/IP connections."
"Error: Failed to mark inFlow database as multi-user.","Error: Failed to mark inFlow database as multi-user."
"Error: Failed to mark inFlow database as single-user.","Error: Failed to mark inFlow database as single-user."
"Error: Failed to remove firewall exceptions.","Error: Failed to remove firewall exceptions."
"Error: Failed to restart SQL Server service.","Error: Failed to restart SQL Server service."
"Error: Failed to set SQL Server Browser service to automatic.","Error: Failed to set SQL Server Browser service to automatic."
"Error: Failed to start SQL Server Browser service.","Error: Failed to start SQL Server Browser service."
"Error: Failed to stop SQL Server service.","Error: Failed to stop SQL Server service."
"Error: File type not recognized.  Please check your import file.","Error: File type not recognized.  Please check your import file."
"Error: inFlow couldn't find any properly formatted lines in your file.  Please check that the file is filled in correctly, matching the header.","Error: inFlow couldn't find any properly formatted lines in your file.  Please check that the file is filled in correctly, matching the header."
"Error: inFlow had trouble understanding your import file.  Please make sure the file's data format is correct.","Error: inFlow had trouble understanding your import file.  Please make sure the file's data format is correct."
"ErrorMessage","ErrorMessage"
"Est. Duration","Est. Duration"
"Est. Duration (Days)","Est. Duration (Days)"
"Est. Out of Stock Date","Est. Out of Stock Date"
"Est. Out Of Stock Date","Est. Out Of Stock Date"
"Estimated Inventory Duration","Estimated Inventory Duration"
"ESTIMATED INVENTORY DURATION","ESTIMATED INVENTORY DURATION"
"Estimated inventory selling rate by averaging over the past {0} days","Estimated inventory selling rate by averaging over the past {0} days"
"Estimated Total Volume:","Estimated Total Volume:"
"Estimated Total Weight:","Estimated Total Weight:"
"Estimated Volume","Estimated Volume"
"Estimated Weight","Estimated Weight"
"Estimates how long your current inventory stock will last based on how fast each product has been selling recently.","Estimates how long your current inventory stock will last based on how fast each product has been selling recently."
"Exactly","Exactly"
"Exchange Rate","Exchange Rate"
"Exchange rate cannot be zero.","Exchange rate cannot be zero."
"Exchange Rate:","Exchange Rate:"
"Exit current session and change to a different user?","Exit current session and change to a different user?"
"Expected Qty","Expected Qty"
"Expiration Date","Expiration Date"
"Export","Export"
"Export contents to CSV","Export contents to CSV"
"Export Data","Export Data"
"Export Document","Export Document"
"Export Documents  (Ctrl+E)","Export Documents  (Ctrl+E)"
"Export documents to other formats such as PDF, Excel, and Word.","Export documents to other formats such as PDF, Excel, and Word."
"Export the custom document template to a file.","Export the custom document template to a file."
"Export these customers","Export these customers"
"Export these products","Export these products"
"Export these purchase orders","Export these purchase orders"
"Export these sales orders","Export these sales orders"
"Export these vendors","Export these vendors"
"Export this document in a format of your choice.","Export this document in a format of your choice."
"Export your bill of materials (used for manufacturing finished products from raw materials).","Export your bill of materials (used for manufacturing finished products from raw materials)."
"Export your customized text/labels for user interface and reports.","Export your customized text/labels for user interface and reports."
"Export your list of customers, including their contact info, addresses, payment information, and more.","Export your list of customers, including their contact info, addresses, payment information, and more."
"Export your list of vendors, including their contact information, addresses, shipment information, and more.","Export your list of vendors, including their contact information, addresses, shipment information, and more."
"Export your product information, including item name/code, description, price, etc., but not inventory/stock on hand.","Export your product information, including item name/code, description, price, etc., but not inventory/stock on hand."
"Export your product inventory/stock information - the quantity you have in stock of each item in each location.","Export your product inventory/stock information - the quantity you have in stock of each item in each location."
"Export your purchase orders, including vendor information and what was ordered.","Export your purchase orders, including vendor information and what was ordered."
